satellite,sensor,product,level,eum_product_name,start_date,end_date,processor,status,timeliness,baseline_collection,source,example_file
S3,OLCI,OL_1_EFR,1,EO:EUM:DAT:SENTINEL-3:OL_1_EFR___NRT,20/10/2016,today,MAR,Original,NRT,2,EUM,
S3,OLCI,OL_1_ERR,1,EO:EUM:DAT:SENTINEL-3:OL_1_ERR___NRT,20/10/2016,today,MAR,Original,NRT,2,EUM,
S3,OLCI,OL_2_WRR,2,EO:EUM:DAT:0408,05/07/2017,14/02/2021,MAR,Original,NRT,2,EUM,
S3,OLCI,OL_2_WRR,2,EO:EUM:DAT:0408,15/02/2021,today,MAR,Original,NRT,3,EUM,
S3,OLCI,OL_2_WFR,2,EO:EUM:DAT:0407,05/07/2017,14/02/2021,MAR,Original,NRT,2,EUM,
S3,OLCI,OL_2_WFR,2,EO:EUM:DAT:0407,15/02/2021,today,MAR,Original,NRT,3,EUM,
S3,OLCI,OL_2_WFR,2,EO:EUM:DAT:0556,24/04/2016,28/04/2021,MAR,Reprocessed,NTC,3,EUM,
S3,OLCI,OL_2_WFR,2,EO:EUM:DAT:0592,25/04/2016,29/11/2017,MAR,Reprocessed,NTC,2,EUM,
S3,OLCI,OL_2_WRR,2,EO:EUM:DAT:0557,25/04/2016,28/04/2021,MAR,Reprocessed,NTC,3,EUM,
S3,OLCI,OL_2_WRR,2,EO:EUM:DAT:0593,25/04/2016,29/11/2017,MAR,Reprocessed,NTC,2,EUM,
S3,OLCI,OL_1_EFR,1,EO:EUM:DAT:SENTINEL-3:OL_1_EFR___NTC,25/04/2016,today - 1 month,MAR,Original,NTC,2,EUM,
S3,OLCI,OL_1_ERR,1,EO:EUM:DAT:SENTINEL-3:OL_1_ERR___NTC,25/04/2016,today - 1 month,MAR,Original,NTC,2,EUM,
S3,OLCI,OL_1_ERR,1,EO:EUM:DAT:0578,25/04/2016,29/10/2019,MAR,Reprocessed,NTC,2,EUM,
S3,OLCI,OL_1_EFR,1,EO:EUM:DAT:0577,25/04/2016,29/10/2019,MAR,Reprocessed,NTC,2,EUM,
S3,OLCI,OL_2_WRR,2,EO:EUM:DAT:SENTINEL-3:OL_2_WRR___NTC,25/04/2016,14/02/2021,MAR,Original,NTC,2,EUM,
S3,OLCI,OL_2_WRR,2,EO:EUM:DAT:SENTINEL-3:OL_2_WRR___NTC,15/02/2021,today - 1 month,MAR,Original,NTC,3,EUM,
S3,OLCI,OL_2_WFR,2,EO:EUM:DAT:SENTINEL-3:OL_2_WFR___NTC,05/07/2017,14/02/2021,MAR,Original,NTC,2,EUM,
S3,OLCI,OL_2_WFR,2,EO:EUM:DAT:SENTINEL-3:OL_2_WFR___NTC,15/02/2021,today - 1 month,MAR,Original,NTC,3,EUM,
S3,SLSTR,SL_2_WST,2,EO:EUM:DAT:SENTINEL-3:SL_2_WST___NTC,19/04/2016,31/01/2020,MAR,Original,NTC,3,EUM,
S3,SLSTR,SL_2_WST,2,EO:EUM:DAT:SENTINEL-3:SL_2_WST___NTC,01/02/2020,today - 1 month,MAR,Original,NTC,4,EUM,
S3,SLSTR,SL_1_RBT,1,EO:EUM:DAT:SENTINEL-3:SL_1_RBT___NTC,19/04/2016,31/01/2020,MAR,Original,NTC,3,EUM,
S3,SLSTR,SL_1_RBT,1,EO:EUM:DAT:SENTINEL-3:SL_1_RBT___NTC,01/02/2020,today - 1 month,MAR,Original,NTC,4,EUM,
S3,SLSTR,SL_1_RBT,1,EO:EUM:DAT:0581,19/04/2016,08/05/2018,MAR,Reprocessed,NTC,3,EUM,
S3,SLSTR,SL_1_RBT,1,EO:EUM:DAT:0615,09/05/2018,16/02/2020,MAR,Reprocessed,NTC,4,EUM,
